Location,Ward/Branch,Stake,# of Adult Volunteers,# of Youth Volunteers,Doors in Route,Donation Bags Collected,Routes Completed,Neighbourhood,Assessed Value,Time Spent,Latitude,Longitude,New Route Number/Name,Cluster
Edmonton North Stake Centre,Namao Ward,Edmonton North Stake,2,0,1751,14,1,NAMAO,6666500.0,30,53.61346820073055,-113.5157507,Edmonton North Stake 10,3
Bearspaw Chapel,Lee Ridge Ward,Gateway Stake,1,3,169,20,1,LEE RIDGE,28618500.0,90,53.47232073,-113.4502878,Gateway Stake 41,1
Bearspaw Chapel,Blackmud Creek Ward,Gateway Stake,2,2,153,35,1,BLACKMUD CREEK,503500.0,90,53.42374423,-113.5051636,Gateway Stake 42,0
Riverbend Stake Centre,Devon Ward,Riverbend Stake,2,0,150,20,1,DEVON,703525.0,90,53.44964276918846,-113.5384964,Riverbend Stake 17,0
Bonnie Doon Stake Centre,Southgate Ward,Bonnie Doon Stake,2,0,151,18,1,SOUTHGATE,837500.0,60,53.55056740256591,-113.4548124,Bonnie Doon Stake 35,2
Gateway Stake Centre ,Silver Berry Ward,Gateway Stake,3,0,241,50,1,SILVER BERRY,162000.0,60,53.45921603129749,-113.3818037,Gateway Stake 43,1
Riverbend Stake Centre,Rutherford Ward,Riverbend Stake,2,0,187,45,1,RUTHERFORD,1154500.0,60,53.42045712828527,-113.5399461,Riverbend Stake 18,0
Gateway Stake Centre ,Crawford Plains Ward,Gateway Stake,2,3,280,48,2,CRAWFORD PLAINS,140000.0,120,53.44341912235957,-113.4026104,Gateway Stake 44,1
Edmonton North Stake Centre,Griesbach Ward,Edmonton North Stake,2,2,180,15,1,GRIESBACH,6666500.0,30,53.61346820073056,-113.5157507,Edmonton North Stake 11,3
Londonberry Chapel,Clareview Ward,Bonnie Doon Stake,1,1,300,54,1,CLAREVIEW,837500.0,60,53.55056740256591,-113.4548124,Bonnie Doon Stake 36,2
Gateway Stake Centre ,Crawford Plains Ward,Gateway Stake,4,1,431,37,3,CRAWFORD PLAINS,140000.0,90,53.44341912235957,-113.4026104,Gateway Stake 45,1
Bearspaw Chapel,Wild Rose Ward,Gateway Stake,2,2,100,25,1,WILD ROSE,118500.0,60,53.47199344444126,-113.3815115,Gateway Stake 46,1
Gateway Stake Centre ,Silver Berry Ward,Gateway Stake,3,1,230,21,1,SILVER BERRY,162000.0,90,53.45921603129749,-113.3818037,Gateway Stake 47,1
Londonberry Chapel,Londonderry Ward,Bonnie Doon Stake,2,1,300,55,2,LONDONDERRY,837500.0,60,53.55056740256591,-113.4548124,Bonnie Doon Stake 37,2
Edmonton North Stake Centre,Namao Ward,Edmonton North Stake,5,4,286,29,1,NAMAO,6666500.0,60,53.61346820073055,-113.5157507,Edmonton North Stake 12,3
Londonberry Chapel,Londonderry Ward,Bonnie Doon Stake,1,4,29,29,1,LONDONDERRY,837500.0,60,53.55056740256591,-113.4548124,Bonnie Doon Stake 38,2
Bonnie Doon Stake Centre,Connors Hill Ward,Bonnie Doon Stake,2,3,90,12,1,CONNORS HILL,837500.0,60,53.55056740256591,-113.4548124,Bonnie Doon Stake 39,2
Gateway Stake Centre ,Crawford Plains Ward,Gateway Stake,4,1,271,27,2,CRAWFORD PLAINS,140000.0,60,53.44341912235957,-113.4026104,Gateway Stake 48,1
